"id","name"
61,"Тампопечать"
62,"Гравировка круговая"
63,"Гравировка"
64,"nan"
65,"Металлостикер"
66,"Шильд спектрум"
67,"Термотрансфер"
68,"Трафаретная печать"
69,"Сублимация"
70,"УФ-печать"
71,"Тиснение"
72,"Вышивка"
73,"Трафаретная печать круговая"
74,"Деколь"
75,"Шеврон жаккардовый"
76,"Трафаретная печать + фольга"
77,"Текстильный принтер"
78,"УФ-печать круговая"
79,"Заливка полимерной смолой"
80,"Цифровая печать"
