"id","name"
2943,"АБС пластик/акрил"
2944,"алюминий/нержавеющая сталь"
2945,"стекло/нержавеющая сталь"
2946,"АБС пластик/ТПУ"
2947,"АБС/ПК пластик"
2948,"ударопрочный полистирол"
2949,"нетканый полипропилен 80 г/м2"
2950,"полиэстер 600D, нейлон"
2951,"ПВХ 200T"
2952,"полиэстер 600D/нетканный полипропилен 80г/м2"
2953,"нетканный полипропилен 80 г/м2"
2954,"полиэстер 210D"
2955,"бумага, имитирующая кожу"
2956,"пластик/силикон"
2957,"тритан без БФА/пластик"
2958,"пластик без БФА"
2959,"нержавеющая сталь/дерево, полиэстер 600D"
2960,"пластик/картон"
2961,"картон, покрытый бумагой под искусственную кожу"
2962,"ПВХ/пластик"
2963,"АБС-пластик"
2964,"нейлон 840D"
2965,"полиэстер 600D/нейлон"
2966,"нейлон Dobby с материалом Scuba"
2967,"полиэстер 600D, нейлон 420D"
2968,"нейлон 400D"
2969,"нейлон 450D"
2970,"нержавеющая сталь/натуральная кожа"
2971,"поликарбонат"
2972,"пластик/полиэстер"
2973,"пластик/резина"
2974,"нейлон"
2975,"нержавеющая сталь/алюминий"
2976,"коралловый флис (100% полиэстер 245г/м2)"
2977,"нержавеющая сталь/термопластичная резина/металл"
2978,"бамбук; нержавеющая сталь/термопластичная резина/металл"
2979,"полиэстер 600D/ПВХ"
2980,"полиэстер 600D, ПВХ"
2981,"переработанное стекло/пробка"
2982,"алюминий/полипропилен/металл"
2983,"термополиуретан"
2984,"термо ПУ"
2985,"высококачественный фарфор"
2986,"сетка Cool Fit 100% полиэстер"
2987,"пике, 100% хлопок"
2988,"Оксфорд, 100% хлопок"
2989,"оксфорд, 100% хлопок"
2990,"поплин, 100% хлопок"
2991,"саржа, 100% хлопок"
2992,"гладкий трикотаж, 60% хлопок, 40% полиэстер"
2993,"100% полиэстер таслон"
2994,"рипстоп с ромбовидным рисунком, 100% нейлон с блестящим покрытием"
2995,"полиэстер, поролон"
2996,"полиэстер/поролон"
2997,"100% полиэстер"
2998,"латунь, покрыты никелем и блестящим хромом"
2999,"подстаканник/ложка- медь и латунь, покрыты никелем и блестящим хромом; стакан- хрусталь"
3000,"купол- полиэстер, каркас, спицы- металл, ручка- пластик"
3001,"флис, 100% полиэстер"
3002,"100% акрил"
3003,"полиэстер/металл/ЭВА"
3004,"полиэстер/металл/ЕВА"
3005,"полиэстер, стекловолокно, ЭВА"
3006,"пластик/пробковое дерево"
3007,"пластик/искусственная трава"
3008,"нержавеющая cталь/пластик с покрытием soft-touch"
3009,"записная книжка- искусственная кожа, картон, бумага/корпус ручки- латунь, лак/отделка и детали дизайна- латунь, хром"
3010,"корпус- латунь, лак/отделка и детали дизайна- латунь, хром/записная книжка- картон, бумага, искусственная кожа"
3011,"корпус- латунь, лак/отделка и детали дизайна- латунь, хром/записная книжка- картон, бумага"
3012,"корпус и колпачок- латунь, лак, акрил/отделка и детали дизайна- сталь, хром/обложка- искусственная кожа"
3013,"полиэстер/металл/ПВХ"
3014,"полиэтилен"
3015,"металл/дерево"
3016,"хрусталь/сплав бронзы и латуни"
3017,"флис/полиэстер"
3018,"корпус и колпачок- латунь, лак, акрил/отделка и детали дизайна- сталь, хром"
3019,"корпус- латунь, лак, акрил/отделка и детали дизайна- сталь, хром"
3020,"металл/оргстекло/стекло"
3021,"металл/стекло; верхняя часть патрона- картон, обклеенный золотым лайнером, нижняя часть- ПВХ кольцо, обтянутое кожзаменителем"
3022,"дерево/береста/металл/стекло"
3023,"дерево/береста/керамика"
3024,"драгоценная черная смола/напыление розового золота"
3025,"драгоценный синий лак/платиновое напыление"
3026,"натуральная кожа/цельная латунь"
3027,"нержавеющая сталь/напыление розового золота"
3028,"полиэстер/металл/пластик"
3029,"бумага/полипропилен"
3030,"бумага/полиуретан"
3031,"бумага/картон"
3032,"матовый черный полиуретан на тканевой основе"
3033,"телячья кожа/кристаллы Swarovski"
3034,"телячья кожа/микрофибра/кристаллы Swarovski"
3035,"натуральный камень- змеевик/стекло/бронза"
3036,"колокольная бронза/дерево"
3037,"бронза/натуральный камень- змеевик"
3038,"95% органический хлопок, 5% эластан"
3039,"латунь/хромированное покрытие с золотой отделкой"
3040,"корпус - латунь, платиновое покрытие. Отделка и детали дизайна - платина, позолота 23К"
3041,"корпус - латунь, позолота, отделка и детали дизайна - позолота 23К"
3042,"полиэстер 1200D"
3043,"полиэстер 900D"
3044,"латунь, покрытая перламутровым лаком с декором. Отделка и детали дизайна — хром"
3045,"корпус - латунь и хромированное покрытие. Отделка и детали дизайна - позолота 23К."
3046,"корпус - латунь и лакированное покрытие. Отделка и детали дизайна - хром"
3047,"корпус - латунь и лакированное покрытие. Отделка и детали дизайна - хром. "
3048,"нейлон/металл/пластик"
3049,"металл/пластик/каучук"
3050,"полиэстер/дерево/металл"
3051,"полиэстер, металл, дерево"
3052,"карбоновая кожа"
3053,"натуральная кожа/палладий"
3054,"металл/кристаллы Swarovski"
3055,"покрытие розовое золото/кристаллы Swarovski"
3056,"кристаллы Swarovski/металл"
3057,"сетчатый материал, 100% полиэстер с дышащей поверхностью"
3058,"трикотаж, 100% полиэстер с дышащей поверхностью, начес с внутренней стороны"
3059,"100% полиэстер, 290Т; водостойкое покрытие с водоотталкивающей отделкой, подкладка 100% полиэстер"
3060,"100% полиэстер, джерси, микрофлис"
3061,"90% полиэстер, 10% эластан, проклеенный сетчатым материалом из 100% полиэстера"
3062,"100% полиэстер, 240T; водостойкое покрытие с водоотталкивающей отделкой"
3063,"100% нейлон с водоотталкивающим покрытием; 80% пух, 20% перо"
3064,"nan"
3065,"100% полиэстер с водонепроницаемой дышащей мембраной и водоотталкивающей отделкой"
3066,"корал-флис 240 г/м²"
3067,"дерево/нержавеющая сталь"
3068,"АБС-пластик/силикон"
3069,"холщовый хлопок/искусственная кожа"
3070,"холщовый хлопок 18 унций, искусственная кожа"
3071,"полиэстер 600D, рипстоп полиэстер 600D"
3072,"полиэстер/рипстоп полиэстер"
3073,"нержавеющая сталь/АБС пластик"
3074,"металл/резина"
3075,"тритан без БФА"
3076,"алюминий без БФА"
3077,"силикон/сталь/ПВХ"
3078,"АБС-пластик/ПВХ"
3079,"холщовый хлопок"
3080,"хлопок 100 г/м2"
3081,"фарфор/полиэстер"
3082,"биоразлагаемый пластик"
3083,"пластик c покрытием софт-тач"
3084,"акрил/поликарбонат"
3085,"поликарбонат/акрил"
3086,"эпонж полиэстер/стекловолокно"
3087,"полиэстер, стекловолокно, пластик"
3088,"АС пластик"
3089,"АБС пластик/ПУ"
3090,"цинковый сплав/латунь/резина"
3091,"цинковый сплав/шерсть"
3092,"PU-кожа, цинковый сплав, латунь"
3093,"цинковый сплав/резина"
3094,"PU, цинковый сплав"
3095,"цинковый сплав/резина/латунь"
3096,"цинковый сплав/кожа/латунь"
3097,"PU, металл"
3098,"PU, шелк"
3099,"латунь, цинковый сплав"
3100,"PU, цинковый сплав, латунь"
3101,"PU, латунь"
3102,"цинковый сплав/резина/PU-кожа"
3103,"металл/кожа"
3104,"ремень- кожа, ручка- латунь"
3105,"ремень- кожа, хронограф- нержавеющая сталь/резина"
3106,"часы- корпус- сплав цинка, крепление- резина, ручка- латунь с галваническим покрытием"
3107,"латунь с гальваническим покрытием"
3108,"шарф- 100% шерть, ремень- кожа"
3109,"блокнот- полиуретан, ручка- латунь, акриловая смола, хромирование"
3110,"папка- полиуретан, ручка- латунь"
3111,"латунь, гальваническое покрытие"
3112,"блокнот- полиуретан, ручка- латунь, хромирование"
3113,"брелок- железо, цинковый сплав, хромирование, кошелек- кожа"
3114,"папка- полиуретан, ручка- латунь, кожа"
3115,"брелок- железо, цинковый сплав, хромирование, кошелек- кожа, ручка- латунь, хромирование"
3116,"латунь, кожа"
3117,"кошелек- кожа, ручка- латунь с гальваническим покрытием"
3118,"брелок- железо, цинковый сплав, хромирование, кошелек- кожа, ручка- латунь, кожа"
3119,"кошелек- кожа, ручка- латунь, кожа"
3120,"кошелек- кожа, ручка- латунь, хромирование"
3121,"брелок- железо, цинковый сплав, хромирование, ручка- латунь, кожа"
3122,"папка- полиуретан, ручка- лутань, кожа, брелок- железо, цинковый сплав, хромирование"
3123,"кошелек- кожа, брелок- железо, цинковый сплав, хромирование"
3124,"латунь, хромирование"
3125,"блокнот- полиуретан/бумага, ручка- латунь/полиуретан"
3126,"шелк/нержавеющая сталь"
3127,"шелк/латунь"
3128,"шелк/нержавеющая cталь"
3129,"шелк, микрофибра со стразами, металл"
3130,"микрофибра со стразами, металл"
3131,"шелк, цинковый сплав, микрофибра со стразами, металл"
3132,"шелк/цинковый сплав"
3133,"нержавеющая cталь"
3134,"шелк/латунь/кожа"
3135,"клатч- натуральная кожа, ручка- латунь, лак"
3136,"латунь, лак"
3137,"папка- полиуретан, флешка- латунь, лак, ручка- латунь, лак"
3138,"шарф- 100% шерть, часы- корпус- сплав цинка, крепление- натуральняа кожа"
3139,"блокнот- полиуретан, ручка- латунь, лак, брелок- латунь"
3140,"кошелек- кожа, ручка- латунь, лак"
3141,"кошелек- натуральная кожа, брелок- латунь"
3142,"кредитница- натуральная кожа, ручка- латунь, лак"
3143,"шарф- 100% шерть, часы- корпус- сплав цинка, крепление- резина"
3144,"100% шерсть"
3145,"PU"
3146,"полиуретан, полиэстер"
3147,"корпус- сплав цинка, крепление- резина"
3148,"латунь, хромирование, лак"
3149,"корпус- нержавеющая сталь, крепление- нержавеющая сталь/резина"
3150,"железо, цинковый сплав"
3151,"натуральная кожа, полиэстер"
3152,"хлопок с полиэфирным покрытием, полиэстер"
3153,"кожа"
3154,"натуральная кожа, хлопок"
3155,"латунь, покрытие GUN"
3156,"искусственная кожа, бумага"
3157,"латунь/кожа"
3158,"железо, цинковый сплав, хромирование"
3159,"кожзам"
3160,"кожа, полиэстер"
3161,"латунь с позолотой"
3162,"латунь с хромированием"
3163,"полиамид, полиэстер"
3164,"корпус- сплав, крепление- кожа"
3165,"корпус- сплав цинка, крепление- натуральняа кожа"
3166,"материал Eastman tritan™ без БФА"
3167,"алюминий с медным покрытием"
3168,"резина/металл"
3169,"винил/металл"
3170,"полиэстер/винил"
3171,"рипстоп полиэстер 420D"
3172,"полиэстер 420D, полиэстер рипстоп"
3173,"полиэстер рипстоп"
3174,"полиэстер/нержавеющая сталь"
3175,"хлопок/силикон"
3176,"флис/полиэстер рипстоп"
3177,"полиэстер рипстоп/пластик"
3178,"блокнот- бумага, ручка- пластик"
3179,"бумага"
3180,"материал UltraHyde"
3181,"джут"
3182,"ПС пластик"
3183,"металл, пластик, ЭВА"
3184,"нержавеющая сталь/дерево/полиэстер"
3185,"АБС пластик/АС пластик"
3186,"полиэстер 600D, рипстоп"
3187,"АБС пластик/ПК пластик"
3188,"ТПУ/АБС пластик"
3189,"ПК пластик"
3190,"Eastman Tritan™ без БФА"
3191,"хлопок 220 г/м2"
3192,"ЭВА"
3193,"полиамид"
3194,"100% полиэстер, сетка"
3195,"85% хлопок, 15% вискоза"
3196,"100% хлопок, пике"
3197,"100% чесаный хлопок, пике"
3198,"100% микрополиэстер"
3199,"55% хлопок, 45% полиэстер"
3200,"55% хлопок, 45% полиэстер, поплин"
3201,"50% хлопок, 50% полиэстер, футер"
3202,"50% хлопок, 50% полиэстер"
3203,"90% хлопок, 10% вискоза"
3204,"90% хлопок, 10% полиэстер"
3205,"футер, 50% хлопок, 50% полиэстер"
3206,"french terry- 50% хлопок, 50% полиэстер"
3207,"french terry- 90% хлопок, 10% полиэстер"
3208,"65% полиэстер, 35% хлопок, джерси"
3209,"65% полиэстер, 35% хлопок"
3210,"65% полиэстер, 35% хлопок, саржа"
3211,"100% полиэстер с водостойким покрытием и водоотталкивающей отделкой"
3212,"100% микрополиэстер, джерси"
3213,"трикотаж, 100% микрополиэстер"
3214,"полиэстер, флис"
3215,"микрофлис, 100% полиэстер, обе стороны чесаные, одна сторона с антипиллинговым покрытием"
3216,"100% полиэстер/ 94% полиэстер, 6% эластан"
3217,"трикотаж, 100% полиэстер"
3218,"100% полиэстер, джерси"
3219,"100% микрополиэстер/91% микрополиэтер, 9% эластан"
3220,"50% хлопок, 50 полиэстер"
3221,"64% хлопок, 25% полиэстер, 11% вискоза"
3222,"65% хлопок, 35% полиэстер"
3223,"пластик с эффектом натуральной кожи"
3224,"пластик с прорезиненным покрытием, металл"
3225,"пластик с покрытием софт-тач, металл"
3226,"полиэтилен/металл/пластик"
3227,"100% полиэстер 190T"
3228,"полиэстер 210Т"
3229,"нетканый материал"
3230,"специальный металлический сплав"
3231,"бумага/пластик"
3232,"силикон/ABS пластик/липкий стикер"
3233,"пластик с покрытием софт-тач"
3234,"пластик/искусственная кожа"
3235,"100% полиэстер 240T эпонж с покрытием"
3236,"силикон/пластик"
3237,"высококачественный нейлон"
3238,"100% полиэстер, флис"
3239,"искусственная кожа/металл/дерево/фланель"
3240,"джинса 600D"
3241,"силикон/АБС пластик"
3242,"бумага, пластик/металл"
3243,"медный сплав с посеребрением и частичной позолотой"
3244,"стекло/натуральная кожа"
3245,"латунь/пушечная сталь"
3246,"натуральная фактурная кожа наппа"
3247,"натуральная гладкая кожа наппа"
3248,"кожа наппа гладкая"
3249,"латунь/платина"
3250,"полиэстер 900D/М2,  добби, искусственная кожа"
3251,"полиэстер 1680D, ПВХ"
3252,"натуральная кожа/нержавеющая сталь"
3253,"сплит-кожа/натуральная кожа/нержавеющая сталь"
3254,"латунь/позолота/хрусталь"
3255,"латунь/хрусталь"
3256,"латунь, покрытие: золото, никель"
3257,"литьевой мрамор (специальный композитный материал) с бронзовым покрытием"
3258,"фанера (ФК)"
3259,"бумага/PU"
3260,"бумага, металл"
3261,"бумага, имитирующая кожу, металл"
3262,"бумага, имитирующая кожу, металл, пластик"
3263,"экокожа"
3264,"эпонж/металл"
3265,"дерево/картон"
3266,"латунь/золото/яшма"
3267,"латунь, золото"
3268,"фианиты/агат/хрусталь/латунь/золото"
3269,"корпус- латунь, лак/отделка и детали дизайна- хром"
3270,"корпус- латунь, лак/отделка и детали дизайна- позолота"
3271,"корпус- латунь, лак/отделка и детали дизайна- хром, позолота"
3272,"латунь/лак/позолота"
3273,"нержавеющая cталь/АБС пластик"
3274,"полиэстер/дерево/металл/пластик"
3275,"керамика/металл/дерево"
3276,"Eastman Tritan™ без БФА/нержавеющая сталь"
3277,"Eastman Tritan™ без БФА./SAN пластик"
3278,"дизайнерский картон/шпон"
3279,"драгоценная черная смола/платиновое напыление/перо-золота 585 пробы/вставка с родиевым напылением"
3280,"нержавеющая сталь/черное сапфировое стекло"
3281,"нержавеющая сталь/синий лак"
3282,"натуральная кожа/подкладка-жаккард/кольцо вокруг эмблемы с палладиевым напылением"
3283,"драгоценная черная смола/перо - золото 750 пробы/вставка с родиевым напылением"
3284,"замша/жаккардовая подкладка"
3285,"кукла- хлопок, чайник- фарфор"
3286,"шерсть 100%, искусственный мех"
3287,"кукла- фарфор/хлопок, зонт- полиэстер"
3288,"кукла- фарфор/текстиль, нож- нержавеющая сталь"
3289,"металл/пластик/полиэстер"
3290,"АБС пластик/дерево"
3291,"АБС пластик/резина"
3292,"нержавеющая сталь/акрил"
3293,"пластик ПП"
3294,"стекло/силикон/нержавеющая сталь"
3295,"парусина 407 г/м2 хлопок, джут"
3296,"парусина 407 г/м2 хлопок"
3297,"полиэстер рипстоп 600D"
3298,"винил"
3299,"мешковина 542 г/м2, хлопок, искусственная кожа"
3300,"ПЭТ, пластик, ПВХ"
3301,"ПЭТ, пластик"
3302,"металл/EVA"
3303,"стекло/сплав с содержанием алюминия не менее 95% (белый металл)"
3304,"АС пластик без БФА и ПП пластик"
3305,"91% полиэстер, 9% эластан"
3306,"100% полиэстер микрофлис"
3307,"100% полиэстер стретчевый материал с подкладкой сеткой 100% полиэстер"
3308,"100% полиэстер оксфорд с подкладкой полиэстер таффета"
3309,"95% хлопок, 5% эластан, джерси"
3310,"52% хлопок, 48% полиэстер футер"
3311,"100% полиэстер, матовый поплин"
3312,"купол- полиэстер, стержень и ручка- дерево, спицы- металл"
3313,"картон с покрытием ПВХ"
3314,"корпус- сталь, крепление- натуральная кожа"
3315,"полипропилен 180 мкм"
3316,"кристаллы Swarovski"
3317,"кристаллы Swarovski/лак/металл"
3318,"металл/лак/кристаллы Swarovski"
3319,"100% полиэстер. Подкладка 100% полиэстер, сатин. Утеплитель 100% полиэстер"
3320,"керамика с покрытием софт-тач"
3321,"микрофибра"
3322,"АБС и АС пластик"
3323,"АБС пластик/алюминий"
3324,"ПУ"
3325,"ПП пластик"
3326,"алюминий с резиновым покрытием"
3327,"90% полиэстер, 10% хлопок"
3328,"хлопок парусина"
3329,"полиэстер 600D с акцентами из полипропилена"
3330,"полиэстер 190Т"
3331,"металл c покрытием софт-тач"
3332,"ткань"
3333,"дерево/цинковый сплав"
3334,"полиэстер 600D/добби"
3335,"полиэстер 600D/ПУ винил"
3336,"полиэстер 300D/ПУ винил"
3337,"полиэстер с покрытием ПУ/рипстоп полиэстер/тарпаулин"
3338,"полиэстер 1680D/рипстоп 600D"
3339,"полиэстер добби 600D"
3340,"полиэстер 300D/тарпаулин"
3341,"полиэстер 300D/полиэстер с покрытием ПУ"
3342,"алюминий/полиэстер"
3343,"корпус- нержавеющая сталь, крепление- натуральная кожа"
3344,"корпус- силикон, крепление- пластик"
3345,"корпус- нержавеющая сталь, крепление нержавеющая сталь"
3346,"нержавеющая сталь/натуральная кожа/пластик"
3347,"полиэстер 600D, дерево/металл"
3348,"100% хлопок, твил"
3349,"родированное серебро 925-й пробы, сталь, латунь"
3350,"65% полиэстер, 35% хлопок, пике"
3351,"кукла- фарфор/текстиль"
3352,"100% хлопок, джерси, 150 г/м2"
3353,"натуральная кожа с углеродным покрытием"
3354,"перфорированная кожа"
3355,"телячья кожа"
3356,"белый и красный лак, хром"
3357,"латунь, хром"
3358,"темно-синий лак, хром"
3359,"лак, позолота, латунь"
3360,"ювелирная латунь, платина, синий лак, серебряная пудра"
3361,"палладий, черный китайский лак"
3362,"палладий, лак"
3363,"ювелирная латунь, черный китайский лак"
3364,"палладий, черный матовый лак"
3365,"ювелирная латунь, позолота, черный лак, золотая пудра"
3366,"палладий, бирюзовый лак"
3367,"палладий, розовый лак"
3368,"сталь, древесный уголь"
3369,"ювелирная латунь, черный лак, хром"
3370,"ювелирная латунь, синий лак, хром"
3371,"нержавеющая сталь, хром, матовая полировка"
3372,"нержавеющая cталь, хром"
3373,"белый лак, хром"
3374,"латунь, черный и красный лак"
3375,"металл, лак"
3376,"металл, хром, лак"
3377,"металл, красный лак"
3378,"ювелирная латунь, хром, красный лак"
3379,"ювелирная латунь, хром, белый лак"
3380,"ювелирная латунь, хром, лак"
3381,"черный лак, хром"
3382,"хром"
3383,"лак, хром"
3384,"хром, матовая полировка"
3385,"ювелирная латунь, палладий, лак"
3386,"ювелирная латунь, позолота, черный лак с гравировкой птицы Феникс из тонкой позолоты, золотая пудра"
3387,"ювелирная латунь, палладий, черный лак"
3388,"платинирование"
3389,"сталь, палладий"
3390,"высокопрочная ювелирная латунь, позолота, лак"
3391,"ювелирная латунь, лак"
3392,"ювелирная латунь, палладий, белый лак, красный камень кабашон"
3393,"ювелирная латунь, палладий, черный лак, красный камень кабашон"
3394,"ювелирная латунь, палладий, фиолетовый лак"
3395,"ювелирная латунь, палладий, белый перламутровый лак"
3396,"палладий, синий и белый лак, позолота, дерево"
3397,"желтая позолота, палладий"
3398,"лакированное дерево, палладий"
3399,"палладий"
3400,"палладий, позолота"
3401,"латунь, палладий"
3402,"сплав цинка"
3403,"сплав цинка/кожа"
3404,"металл/поликарбонат"
3405,"металл/PU"
3406,"латунь/кожа/PU"
